uid,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,label
2241756272238,0.0,41.0,0.1267605633802817,0.0,2.0,48.0,21.0,0.006521739130434782,175.0,22.0,28.0,148.0,33.0,0.0,0,37.0,2374.0,18.0,0,48.80502080104413,49.0,10.0,0.0,5.0,12946.0,5808.0,33.0,14.0,23.0,0.0,1.0,104.0,7.0,53.0,22.0,8403.0,37.0,31.0,0.0,28.0,,0.0,1.0,28.0,30.0,29.0,258.0,22.0,11.0,,0
2241757372333,2.0,35.0,0.07633587786259542,2.0,0.0,25.0,27.0,0.028571428571428567,97.0,22.0,7.0,82.0,26.0,0.0,0,17.0,4995.0,19.0,0,182.82071867918413,18.0,7.0,0.0,5.0,15484.0,3740.0,89.0,8.0,10.0,0.0,0.0,156.0,15.0,21.0,20.0,15018.0,29.0,38.0,0.0,33.0,,0.0,0.0,27.0,27.0,30.0,198.0,22.0,5.0,,0
2241757910027,2.0,6.0,0.2727272727272727,1.0,2.0,7.0,19.0,0.00847457627118644,15.0,5.0,4.0,14.0,39.0,0.0,0,16.0,2264.0,14.0,0,0.0,14.0,12.0,0.0,1.0,3475.0,4682.0,1225.0,5.0,16.0,1.0,2.0,84.0,14.0,19.0,10.0,13515.0,19.0,17.0,0.0,28.0,,0.0,0.0,22.0,12.0,26.0,52.0,12.0,1.0,,0
2241758278271,2.0,66.0,0.06802721088435375,5.0,2.0,57.0,29.0,0.007751937984496123,263.0,22.0,29.0,236.0,67.0,296.0,0,73.0,6409.0,20.0,0,0.0,81.0,7.0,2.0,12.0,29114.0,8450.0,16.0,23.0,39.0,2.0,2.0,323.0,26.0,85.0,22.0,22091.0,78.0,74.0,0.0,75.0,,0.0,0.0,30.0,30.0,30.0,570.0,21.0,17.0,,0
2241758613847,12.0,47.0,0.2352941176470588,15.0,0.0,51.0,28.0,0.0,271.0,19.0,29.0,255.0,40.0,429.0,0,49.0,6666.0,18.0,0,172.67365434522446,55.0,8.0,3.0,9.0,14258.0,15897.0,20.0,16.0,33.0,5.0,4.0,88.0,9.0,63.0,20.0,8763.0,47.0,26.0,0.0,37.0,,0.0,6.0,24.0,27.0,30.0,414.0,19.0,8.0,,1
2241759239047,2.0,105.0,0.07692307692307693,2.0,4.0,53.0,29.0,0.020202020202020204,182.0,22.0,29.0,163.0,45.0,0.0,0,35.0,6717.0,19.0,0,101.12951311503514,48.0,5.0,0.0,5.0,16505.0,3814.0,50.0,4.0,25.0,0.0,4.0,196.0,15.0,61.0,22.0,14853.0,51.0,58.0,395.0,46.0,0.0,,10.0,27.0,29.0,29.0,256.0,22.0,7.0,,1
2241760801478,4.0,96.0,0.040816326530612235,3.0,3.0,45.0,29.0,0.021621621621621626,308.0,21.0,30.0,273.0,62.0,0.0,0,62.0,5479.0,19.0,0,22.51655015494857,64.0,9.0,0.0,5.0,12716.0,14418.0,6.0,13.0,38.0,1.0,6.0,139.0,13.0,72.0,21.0,21837.0,70.0,33.0,1405.0,51.0,0.0,0.0,7.0,29.0,27.0,30.0,456.0,20.0,8.0,,0
2241761244254,1.0,118.0,0.03571428571428571,5.0,2.0,22.0,29.0,0.0125,116.0,22.0,24.0,100.0,31.0,516.0,0,61.0,11367.0,20.0,0,5.852367269071536,54.0,1.0,0.0,4.0,49659.0,19813.0,157.0,7.0,26.0,1.0,4.0,204.0,7.0,83.0,22.0,19036.0,98.0,43.0,0.0,40.0,,,4.0,30.0,30.0,30.0,278.0,22.0,4.0,,0
2241761455585,1.0,38.0,0.05882352941176471,0.0,1.0,75.0,26.0,0.03260869565217391,220.0,16.0,24.0,194.0,55.0,0.0,0,72.0,4418.0,17.0,0,5.781387879300143,78.0,71.0,0.0,5.0,11148.0,4801.0,192.0,22.0,44.0,0.0,2.0,154.0,13.0,97.0,21.0,10776.0,91.0,12.0,0.0,34.0,,,1.0,26.0,27.0,29.0,325.0,21.0,7.0,,0
2241762416196,0.0,95.0,0.4107142857142857,0.0,0.0,18.0,12.0,0.0,131.0,22.0,27.0,119.0,41.0,0.0,0,35.0,741.0,13.0,0,194.69256614867697,28.0,,0.0,4.0,13851.0,6528.0,73.0,5.0,29.0,0.0,0.0,72.0,11.0,42.0,20.0,11966.0,32.0,15.0,0.0,22.0,,,1.0,19.0,27.0,18.0,42.0,20.0,6.0,,0
2241762424776,3.0,65.0,0.2558139534883721,11.0,7.0,31.0,27.0,0.02666666666666667,106.0,19.0,23.0,93.0,46.0,1042.0,0,34.0,2716.0,18.0,0,7.070856927931128,33.0,12.0,2.0,5.0,16422.0,6784.0,2.0,12.0,23.0,4.0,6.0,141.0,10.0,39.0,19.0,12049.0,36.0,29.0,0.0,32.0,,0.0,3.0,25.0,24.0,29.0,168.0,16.0,8.0,,0
2241762720578,0.0,10.0,0.0,0.0,1.0,30.0,26.0,0.017142857142857144,129.0,17.0,19.0,103.0,34.0,0.0,0,45.0,3585.0,21.0,0,0.0,50.0,3.0,0.0,2.0,4760.0,1023.0,594.0,9.0,23.0,0.0,1.0,204.0,4.0,65.0,21.0,4949.0,51.0,36.0,0.0,46.0,,0.0,1.0,30.0,25.0,30.0,250.0,15.0,2.0,,0
2241762778607,4.0,132.0,0.0625,8.0,5.0,27.0,30.0,0.006134969325153374,202.0,20.0,30.0,160.0,49.0,0.0,0,35.0,9266.0,19.0,0,0.0,39.0,9.0,1.0,5.0,9482.0,5851.0,387.0,9.0,22.0,1.0,8.0,99.0,11.0,44.0,22.0,17073.0,38.0,31.0,1436.0,34.0,,0.0,15.0,29.0,27.0,30.0,253.0,20.0,5.0,,0
2241763375063,1.0,81.0,0.5342465753424658,5.0,2.0,21.0,27.0,0.02127659574468085,102.0,21.0,27.0,96.0,20.0,0.0,0,44.0,681.0,17.0,0,0.0,43.0,15.0,0.0,3.0,11055.0,4375.0,79.0,6.0,24.0,1.0,2.0,80.0,6.0,54.0,20.0,6574.0,58.0,21.0,0.0,26.0,,,4.0,27.0,29.0,30.0,168.0,21.0,3.0,,0
2241763536629,2.0,41.0,0.2537313432835821,2.0,0.0,16.0,18.0,0.0,58.0,21.0,23.0,49.0,19.0,0.0,0,20.0,8166.0,19.0,0,0.0,23.0,3.0,0.0,2.0,5621.0,1789.0,36.0,3.0,8.0,0.0,3.0,125.0,6.0,30.0,21.0,32939.0,30.0,37.0,0.0,17.0,,0.0,5.0,29.0,24.0,30.0,110.0,19.0,2.0,,0
2241763987728,3.0,53.0,0.02803738317757009,10.0,1.0,26.0,30.0,0.009324009324009324,63.0,20.0,19.0,60.0,60.0,0.0,0,43.0,6257.0,22.0,0,0.0,42.0,3.0,0.0,9.0,11595.0,6158.0,32.0,21.0,24.0,2.0,7.0,196.0,24.0,45.0,21.0,22246.0,43.0,34.0,0.0,71.0,,0.0,8.0,30.0,23.0,30.0,165.0,15.0,5.0,,0
2241764825236,1.0,31.0,0.027522935779816515,1.0,2.0,54.0,27.0,0.024539877300613498,180.0,20.0,23.0,160.0,53.0,0.0,0,59.0,3960.0,19.0,0,0.0,80.0,42.0,0.0,8.0,13486.0,6821.0,54.0,17.0,24.0,0.0,0.0,166.0,25.0,88.0,21.0,21381.0,77.0,35.0,0.0,41.0,0.0,0.0,0.0,28.0,18.0,30.0,366.0,18.0,9.0,,0
